0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
5.2227592,5.128576,5.035251,4.942786,4.851182,4.760437,4.670552,4.5815277,4.4933643,4.4060626,4.3196216,4.234043,4.1493263,4.065471,3.982479,3.9003494,3.8190827,3.73868,3.6591406,3.5804656,3.5026536,3.4257069,3.3496249,3.2744076,3.200056,3.1265695,3.0539494,2.9821947,2.9113069,2.8412857,2.7721314,2.703844,2.6364248,2.5698726,2.504189,2.439374,2.3754268,2.312349,2.2501402,2.1888008,2.1283312,2.0687315,2.0100024,1.9521437,1.8951555,1.8390388,1.7837933,1.7294197,1.675918,1.6232882,1.5715308,1.5206468,1.4706354,1.4214973,1.373233,1.3258426,1.2793262,1.2336842,1.1889172,1.1450247,1.1020079,1.0598665,1.018601,0.9782116,0.93869853,0.90006214,0.86230266,0.82542044,0.7894158,0.7542886,0.7200398,0.68666935,0.65417737,0.62256414,0.5918303,0.56197584,0.5330011,0.50490654,0.47769204,0.45135817,0.42590517,0.40133333,0.37764278,0.35483402,0.3329071,0.3118625,0.29170045,0.2724212,0.25402495,0.2365121,0.21988286,0.2041376,0.18927647,0.17529987,0.16220799,0.15000111,0.13867961,0.12824367,0.11869358,0.110029675,0.10225219,0.09536141,0.08935762,0.08424114,0.08001218,0.07667106,0.074218035,0.0726534,0.07197746,0.07219045,0.07329267,0.07528442,0.07816594,0.08193754,0.08659951,0.09215209,0.09859557,0.10593027,0.11415644,0.12327437,0.13328433,0.1441866,0.15598147,0.16866922,0.18225013,0.19672447,0.21209253,0.22835459,0.24551098,0.2635619,0.28250772,0.30234852,0.32308486,0.34471685,0.36724478,0.3906689,0.4149897,0.44020724,0.46632186,0.49333382,0.5212436,0.55005115,0.579757,0.6103613,0.6418644,0.67426664,0.70756817,0.7417693,0.77687025,0.81287163,0.84977335,0.88757586,0.92627925,0.96588427,1.0063907,1.0477991,1.0901095,1.1333226,1.1774381,1.2224568,1.2683789,1.3152046,1.3629338,1.4115674,1.4611053,1.5115482,1.5628958,1.6151488,1.6683073,1.7223717,1.7773421,1.8332189,1.8900025,1.9476932,2.0062907,2.0657961,2.126209,2.1875308,2.2497604,2.3128986,2.3769455,2.441902,2.507768,2.574544,2.6422296,2.710826,2.7803328,2.8507507,2.9220796,2.99432,3.0674722,3.1415367,3.2165134,3.292403,3.369205,3.4469204,3.5255492,3.605092,3.6855485,3.7669199
5.309215,5.2142415,5.120127,5.026872,4.9344764,4.842941,4.7522655,4.6624503,4.5734963,4.485403,4.3981705,4.3118,4.226291,4.141645,4.05786,3.9749384,3.8928797,3.8116832,3.731351,3.6518822,3.5732775,3.4955378,3.4186623,3.3426514,3.2675054,3.193225,3.1198099,3.0472612,2.9755788,2.9047627,2.8348136,2.765731,2.6975162,2.6301692,2.5636892,2.4980783,2.4333353,2.3694615,2.306456,2.2443204,2.1830537,2.1226573,2.0631306,2.0044749,1.9466892,1.889775,1.8337318,1.7785602,1.7242601,1.6708323,1.6182766,1.5665933,1.5157832,1.4658461,1.4167826,1.3685929,1.3212767,1.2748351,1.2292681,1.1845758,1.1407586,1.0978167,1.0557507,1.0145603,0.9742463,0.93480873,0.89624804,0.8585643,0.82175785,0.7858291,0.7507782,0.71660525,0.6833109,0.6508954,0.6193587,0.58870137,0.55892354,0.53002554,0.5020077,0.47487018,0.44861344,0.4232376,0.398743,0.3751298,0.3523985,0.33054918,0.3095823,0.28949797,0.27029654,0.2519783,0.23454355,0.21799242,0.20232543,0.18754272,0.17364457,0.16063127,0.14850311,0.13726038,0.12690334,0.11743228,0.10884743,0.10114919,0.0943377,0.08841335,0.08337635,0.07922701,0.07596559,0.073592395,0.0721077,0.07151177,0.07180489,0.072987355,0.07505942,0.0780214,0.081873536,0.086616136,0.092249475,0.09877384,0.1061895,0.11449671,0.123695806,0.13378702,0.14477065,0.15664701,0.16941632,0.18307893,0.19763504,0.213085,0.22942904,0.2466675,0.2648006,0.2838287,0.30375198,0.32457075,0.34628534,0.368896,0.39240298,0.41680667,0.44210726,0.46830502,0.49540025,0.52339333,0.5522843,0.5820736,0.6127617,0.64434856,0.6768345,0.71022,0.7445053,0.7796905,0.81577605,0.85276204,0.8906491,0.92943716,0.9691267,1.009718,1.0512112,1.0936067,1.1369048,1.1811057,1.2262098,1.2722172,1.3191282,1.3669431,1.4156625,1.4652865,1.515815,1.5672486,1.6195878,1.6728326,1.7269831,1.7820401,1.8380035,1.8948737,1.952651,2.0113358,2.0709279,2.131428,2.1928365,2.255154,2.3183794,2.3825138,2.447558,2.513512,2.5803752,2.648149,2.7168334,2.7864285,2.8569343,2.9283516,3.0006802,3.0739214,3.1480744,3.22314,3.2991183,3.3760092,3.4538136,3.532532,3.6121638,3.6927097
5.20574,5.111695,5.018509,4.9261823,4.8347163,4.7441106,4.654365,4.565481,4.4774575,4.3902955,4.303994,4.218556,4.13398,4.0502653,3.9674141,3.8854258,3.8043013,3.7240403,3.6446419,3.566108,3.4884388,3.4116344,3.3356955,3.260621,3.1864119,3.113069,3.0405915,2.9689806,2.8982368,2.8283596,2.7593496,2.6912072,2.6239321,2.557525,2.491986,2.4273157,2.3635142,2.3005824,2.2385192,2.177326,2.1170027,2.0575495,1.9989669,1.9412549,1.884414,1.8284441,1.7733465,1.7191207,1.6657665,1.6132847,1.5616759,1.5109403,1.4610773,1.4120882,1.363973,1.3167318,1.270365,1.2248726,1.1802554,1.1365134,1.0936466,1.0516557,1.0105408,0.97030234,0.93094045,0.8924554,0.8548476,0.8181169,0.7822643,0.7472893,0.7131928,0.67997485,0.64763564,0.61617523,0.5855948,0.5558937,0.52707255,0.49913153,0.47207117,0.44589144,0.4205929,0.39617553,0.3726399,0.34998617,0.32821444,0.30732524,0.2873188,0.26819536,0.24995518,0.23259854,0.21612583,0.20053713,0.18583289,0.17201331,0.15907869,0.14702934,0.13586548,0.1255874,0.116195425,0.10768983,0.10007085,0.093338765,0.08749391,0.08253652,0.07846687,0.07528528,0.072992004,0.07158732,0.071071506,0.07144486,0.072707646,0.07486014,0.07790265,0.08183542,0.08665877,0.09237295,0.09897823,0.106474936,0.114863336,0.12414367,0.13431624,0.14538136,0.15733925,0.17019026,0.18393458,0.19857259,0.21410456,0.23053068,0.2478513,0.26606673,0.28517717,0.30518293,0.32608432,0.34788164,0.3705751,0.39416504,0.4186517,0.4440353,0.47031635,0.49749497,0.5255713,0.55454594,0.5844189,0.6151907,0.6468614,0.67943144,0.7129009,0.74727017,0.7825397,0.8187096,0.8557802,0.8937517,0.93262446,0.972399,1.0130749,1.054653,1.0971339,1.1405169,1.1848032,1.2299925,1.2760855,1.3230822,1.370983,1.4197879,1.4694979,1.5201124,1.5716323,1.6240575,1.6773888,1.7316258,1.7867693,1.8428192,1.8997763,1.9576405,2.016412,2.0760913,2.1366787,2.1981745,2.2605789,2.3238919,2.3881145,2.453246,2.5192876,2.5862386,2.6541007,2.722873,2.7925563,2.8631508,2.9346564,3.0070739,3.0804033,3.1546447,3.2297995,3.3058665,3.3828468,3.4607403,3.5395477,3.6192691,3.699905,3.7814546
5.292088,5.1972537,5.103278,5.0101614,4.917905,4.826508,4.7359715,4.646296,4.557482,4.4695287,4.3824363,4.2962065,4.2108383,4.1263313,4.042688,3.9599075,3.8779898,3.7969356,3.716745,3.6374187,3.5589561,3.481358,3.4046247,3.3287566,3.2537541,3.1796167,3.1063452,3.0339403,2.9624014,2.891729,2.821924,2.752986,2.6849158,2.6177135,2.551379,2.485913,2.4213154,2.357587,2.294727,2.232738,2.1716177,2.1113672,2.051988,1.9934784,1.9358399,1.879073,1.8231769,1.768153,1.7140006,1.6607207,1.6083133,1.5567787,1.5061172,1.4563291,1.4074143,1.3593738,1.3122075,1.2659154,1.2204981,1.1759559,1.132289,1.0894976,1.047582,1.0065427,0.96637994,0.92709374,0.8886844,0.85115224,0.8144979,0.7787211,0.7438226,0.70980227,0.67666066,0.644398,0.61301446,0.5825105,0.55288625,0.5241421,0.49627805,0.46929473,0.4431923,0.41797116,0.39363125,0.37017307,0.34759694,0.32590297,0.30509168,0.2851632,0.26611775,0.24795574,0.23067741,0.21428296,0.19877277,0.1841471,0.17040616,0.1575503,0.14557987,0.13449498,0.124295965,0.1149832,0.10655685,0.09901725,0.09236467,0.08659939,0.081721686,0.07773185,0.07463015,0.07241687,0.07109229,0.070656694,0.07111036,0.07245356,0.07468657,0.07780971,0.081823215,0.08672739,0.092522494,0.09920884,0.10678665,0.11525629,0.12461796,0.13487202,0.14601865,0.15805824,0.17099094,0.18481721,0.19953716,0.21515115,0.23165949,0.24906239,0.26736015,0.28655308,0.30664143,0.32762554,0.34950563,0.372282,0.3959549,0.4205247,0.4459916,0.47235593,0.49961782,0.5277778,0.556836,0.58679277,0.61764836,0.649403,0.6820569,0.7156106,0.7500642,0.78541803,0.8216723,0.8588275,0.8968837,0.9358412,0.9757004,1.0164615,1.0581248,1.1006906,1.144159,1.1885307,1.2338055,1.279984,1.3270664,1.375053,1.4239439,1.4737399,1.5244405,1.5760466,1.6285582,1.6819757,1.7362994,1.7915297,1.8476664,1.9047102,1.9626615,2.02152,2.0812864,2.141961,2.2035441,2.2660358,2.3294365,2.3937466,2.4589663,2.5250955,2.5921354,2.6600847,2.7289455,2.7987168,2.8693995,2.9409943,3.0135002,3.0869186,3.1612487,3.236492,3.3126476,3.3897173,3.4677002,3.5465972,3.6264079,3.7071335
5.188783,5.0948763,5.00183,4.9096427,4.8183155,4.7278495,4.638244,4.549499,4.461616,4.3745937,4.2884345,4.203136,4.1187005,4.035127,3.9524176,3.8705704,3.7895875,3.709468,3.6302123,3.5518215,3.4742947,3.3976326,3.321836,3.2469046,3.1728394,3.09964,3.0273068,2.9558396,2.88524,2.8155067,2.7466412,2.6786432,2.6115139,2.5452516,2.4798584,2.415334,2.3516784,2.2888918,2.2269752,2.1659281,2.1057515,2.0464451,1.9880095,1.9304445,1.873751,1.8179293,1.7629789,1.7089008,1.6556953,1.603362,1.5519017,1.5013145,1.451601,1.4027612,1.3547953,1.3077037,1.2614869,1.2161446,1.1716775,1.1280857,1.0853698,1.0435299,1.002566,0.9624788,0.9232685,0.8849351,0.847479,0.81090045,0.7752,0.7403778,0.7064339,0.6733687,0.64118266,0.60987586,0.5794487,0.5499013,0.5212341,0.4934473,0.46654117,0.44051614,0.41537225,0.39110994,0.36772946,0.345231,0.32361495,0.30288154,0.28303105,0.26406384,0.24598002,0.22878002,0.212464,0.19703242,0.18248536,0.1688232,0.15604623,0.1441547,0.13314885,0.12302905,0.11379554,0.10544855,0.097988434,0.091415435,0.085729845,0.08093193,0.077021986,0.07400028,0.07186709,0.07062271,0.07026742,0.07080148,0.072225176,0.07453882,0.07774266,0.08183698,0.08682207,0.092698194,0.099465676,0.10712474,0.11567568,0.12511879,0.13545439,0.14668268,0.15880398,0.17181858,0.18572676,0.20052879,0.21622495,0.2328155,0.25030077,0.26868105,0.2879566,0.30812758,0.32919443,0.35115737,0.37401673,0.3977728,0.42242575,0.4479759,0.47442365,0.5017691,0.5300127,0.5591545,0.5891951,0.6201346,0.65197337,0.68471134,0.7183493,0.7528872,0.7883255,0.8246645,0.8619041,0.90004504,0.93908745,0.97903156,1.0198777,1.0616263,1.1042774,1.1478312,1.1922882,1.2376487,1.2839129,1.3310812,1.3791534,1.4281305,1.4780123,1.5287993,1.5804917,1.6330899,1.6865937,1.741004,1.7963209,1.8525445,1.9096752,1.9677134,2.0266593,2.0865133,2.147275,2.2089455,2.271525,2.3350134,2.399411,2.4647183,2.5309358,2.5980632,2.6661012,2.7350502,2.80491,2.8756816,2.9473639,3.0199592,3.0934663,3.1678855,3.2432175,3.319463,3.3966212,3.474694,3.55368,3.6335802,3.7143953,3.796125
5.275025,5.180328,5.0864916,4.993514,4.9013963,4.8101397,4.7197433,4.630207,4.541533,4.45372,4.366768,4.2806787,4.1954513,4.1110864,4.027584,3.9449446,3.8631687,3.7822564,3.702208,3.6230237,3.544704,3.4672487,3.3906584,3.314933,3.240074,3.1660798,3.0929523,3.0206912,2.9492965,2.878769,2.809108,2.7403147,2.6723897,2.605332,2.5391428,2.4738224,2.4093711,2.3457885,2.2830753,2.2212317,2.160258,2.1001546,2.040922,1.9825599,1.9250692,1.8684493,1.8127012,1.7578253,1.7038214,1.6506895,1.5984308,1.547045,1.4965326,1.4468935,1.3981284,1.3502373,1.3032207,1.2570788,1.2118115,1.16742,1.1239039,1.0812632,1.0394987,0.9986106,0.95859915,0.91946465,0.88120717,0.8438272,0.8073251,0.77170074,0.7369549,0.7030876,0.6700991,0.6379896,0.60675955,0.57640934,0.546939,0.5183489,0.49063927,0.4638105,0.43786284,0.4127965,0.38861176,0.36530894,0.34288839,0.32135022,0.30069488,0.2809225,0.26203346,0.24402803,0.22690645,0.210669,0.195316,0.18084769,0.16726442,0.15456638,0.14275391,0.13182724,0.12178669,0.11263256,0.10436501,0.09698447,0.09049115,0.08488532,0.080167286,0.076337315,0.07339569,0.07134269,0.070178606,0.0699037,0.07051827,0.07202257,0.074416906,0.07770154,0.08187677,0.086942874,0.092900135,0.099748805,0.10748918,0.11612158,0.12564622,0.13606343,0.14737345,0.15957661,0.17267314,0.18666334,0.20154753,0.21732597,0.23399885,0.25156656,0.2700294,0.28938752,0.30964136,0.3307911,0.35283706,0.3757795,0.3996187,0.4243549,0.4499885,0.47651967,0.50394875,0.53227603,0.56150174,0.5916261,0.62264967,0.6545724,0.6873948,0.72111696,0.75573933,0.7912622,0.8276858,0.86501026,0.903236,0.94236344,0.98239267,1.0233239,1.0651575,1.107894,1.1515332,1.1960759,1.2415221,1.2878721,1.335126,1.3832844,1.4323477,1.4823158,1.5331889,1.5849679,1.6376522,1.6912432,1.74574,1.8011436,1.8574542,1.914672,1.9727974,2.0318303,2.0917714,2.152621,2.214379,2.2770457,2.340622,2.4051077,2.470503,2.5368085,2.6040244,2.6721506,2.7411878,2.8111358,2.8819957,2.9537673,3.026451,3.100047,3.1745558,3.249977,3.3263113,3.4035592,3.481721,3.5607965,3.6407866,3.7216916
5.171889,5.078121,4.985214,4.893167,4.8019795,4.7116537,4.6221876,4.5335836,4.4458394,4.358959,4.2729397,4.187783,4.1034884,4.020057,3.937489,3.8557842,3.7749426,3.6949656,3.615852,3.537604,3.46022,3.3837018,3.3080482,3.2332609,3.1593385,3.086283,3.0140939,2.9427714,2.872316,2.8027277,2.7340071,2.6661546,2.5991695,2.5330534,2.4678059,2.4034271,2.339918,2.277278,2.2155075,2.1546075,2.0945778,2.0354185,1.9771299,1.9197129,1.8631673,1.8074932,1.7526913,1.6987616,1.6457042,1.5935198,1.5422086,1.4917709,1.4422066,1.3935162,1.3457001,1.2987586,1.2526919,1.2075001,1.1631837,1.1197428,1.077178,1.0354892,0.9946768,0.9547411,0.9156826,0.87750125,0.84019744,0.8037714,0.7682237,0.73355424,0.69976336,0.6668515,0.634819,0.6036658,0.5733926,0.5439992,0.5154864,0.4878541,0.46110263,0.43523246,0.41024378,0.38613674,0.36291173,0.34056905,0.31910896,0.29853162,0.2788376,0.26002684,0.24209984,0.22505677,0.20889798,0.19362368,0.17923427,0.16572987,0.1531109,0.14137758,0.13053018,0.12056895,0.11149425,0.10330631,0.0960054,0.089591846,0.084065884,0.07942783,0.075677924,0.07281648,0.07084376,0.06976005,0.069565624,0.07026077,0.07184577,0.07432089,0.07768644,0.08194266,0.08708987,0.093128316,0.10005831,0.10788011,0.11659401,0.12620027,0.13669918,0.14809105,0.16037609,0.17355466,0.18762703,0.20259348,0.21845421,0.2352096,0.25285986,0.27140534,0.2908462,0.31118292,0.3324156,0.3545446,0.3775702,0.40149269,0.4263123,0.45202938,0.4786441,0.50615686,0.5345679,0.5638776,0.5940861,0.62519366,0.6572006,0.69010717,0.7239139,0.75862074,0.7942281,0.83073634,0.8681457,0.9064566,0.9456689,0.9857831,1.0267998,1.0687188,1.1115407,1.1552656,1.1998938,1.2454258,1.2918617,1.3392016,1.3874463,1.4365956,1.48665,1.5376095,1.5894747,1.6422457,1.6959233,1.7505071,1.8059976,1.8623953,1.9197,1.9779124,2.037033,2.0970614,2.1579986,2.2198443,2.2825987,2.3462627,2.4108362,2.4763198,2.5427134,2.6100173,2.6782324,2.747358,2.8173952,2.8883433,2.9602036,3.032976,3.1066613,3.1812584,3.2567694,3.3331933,3.4105303,3.488782,3.567947,3.6480262,3.7290208,3.8109303
5.2580237,5.163467,5.0697684,4.97693,4.8849525,4.793835,4.7035794,4.614184,4.52565,4.4379773,4.351167,4.265218,4.180131,4.095908,4.012548,3.9300504,3.8484168,3.7676466,3.6877403,3.6086988,3.5305216,3.4532099,3.3767626,3.3011813,3.2264655,3.1526153,3.079632,3.0075147,2.9362648,2.8658812,2.7963653,2.7277179,2.659938,2.593026,2.5269825,2.4618082,2.3975027,2.334066,2.2714996,2.209803,2.1489763,2.08902,2.0299346,1.9717201,1.9143767,1.8579049,1.8023051,1.7475774,1.693722,1.6407392,1.5886295,1.5373927,1.4870296,1.43754,1.3889248,1.3411839,1.2943174,1.2483257,1.2032093,1.1589684,1.1156031,1.0731138,1.0315008,0.9907643,0.9509046,0.91192204,0.8738169,0.8365894,0.80023986,0.7647685,0.73017555,0.69646144,0.6636265,0.6316706,0.6005945,0.57039833,0.54108226,0.5126466,0.48509175,0.45841786,0.43262526,0.40771416,0.38368502,0.3605379,0.3382732,0.3168912,0.29639214,0.27677625,0.25804403,0.24019545,0.22323108,0.207151,0.19195554,0.17764503,0.1642197,0.15167984,0.14002575,0.12925766,0.11937592,0.11038074,0.102272466,0.09505132,0.088717595,0.08327159,0.078713596,0.07504385,0.07226267,0.07037032,0.06936708,0.06925323,0.07002906,0.07169483,0.07425084,0.077697374,0.082034685,0.08726308,0.09338283,0.10039423,0.10829751,0.11709302,0.12678099,0.13736174,0.14883551,0.1612026,0.1744633,0.18861787,0.20366661,0.21960981,0.23644769,0.25418064,0.27280882,0.2923326,0.31275222,0.334068,0.35628015,0.379389,0.40339485,0.42829797,0.45409855,0.48079705,0.50839347,0.53688854,0.56628215,0.5965746,0.6277664,0.6598577,0.6928488,0.7267398,0.7615315,0.79722357,0.8338165,0.87131083,0.9097066,0.9490042,0.9892038,1.0303055,1.0723101,1.1152176,1.1590282,1.203742,1.2493598,1.2958816,1.3433077,1.3916385,1.4408741,1.4910147,1.5420609,1.5940126,1.6468705,1.700635,1.7553054,1.8108829,1.8673679,1.92476,1.9830596,2.0422673,2.1023834,2.163408,2.2253416,2.288184,2.351936,2.4165978,2.4821692,2.548651,2.6160436,2.684347,2.7535608,2.8236866,2.8947244,2.9666734,3.0395346,3.1133087,3.1879952,3.263595,3.3401086,3.4175353,3.495876,3.5751314,3.6553009,3.7363849
5.1550593,5.0614314,4.968663,4.876755,4.7857084,4.695522,4.6061964,4.5177336,4.430131,4.343391,4.2575135,4.1724973,4.088345,4.005055,3.922629,3.8410666,3.7603679,3.680533,3.6015632,3.5234573,3.446217,3.3698416,3.2943323,3.2196882,3.1459105,3.0729988,3.0009542,2.929776,2.8594656,2.7900226,2.7214475,2.6537402,2.5869014,2.520931,2.4558294,2.3915968,2.328234,2.2657409,2.2041178,2.143365,2.083482,2.0244703,1.96633,1.9090604,1.8526627,1.797137,1.7424837,1.6887027,1.6357946,1.5837592,1.5325973,1.4823091,1.4328945,1.3843541,1.3366883,1.2898971,1.2439809,1.1989398,1.1547742,1.1114849,1.069071,1.027534,0.9868733,0.94709,0.90818346,0.87015444,0.83300334,0.7967303,0.7613354,0.7268191,0.6931818,0.66042364,0.6285449,0.5975458,0.5674268,0.53818804,0.50982976,0.48235232,0.45575598,0.4300411,0.40520778,0.38125655,0.35818744,0.3360008,0.31469697,0.29427624,0.27473882,0.25608504,0.2383151,0.2214294,0.20542814,0.19031161,0.17608012,0.1627339,0.15027326,0.13869849,0.12800983,0.1182076,0.1092921,0.10126351,0.09412223,0.087868445,0.08250249,0.07802465,0.07443515,0.071734324,0.06992243,0.06899976,0.068966575,0.06982317,0.07156982,0.07420681,0.07773441,0.08215291,0.0874626,0.09366373,0.10075659,0.10874149,0.117618695,0.12738845,0.13805112,0.1496069,0.1620561,0.17539904,0.1896359,0.20476703,0.22079282,0.23771332,0.255529,0.27424,0.29384673,0.31434938,0.33574829,0.3580437,0.38123593,0.40532514,0.43031186,0.4561961,0.48297834,0.5106588,0.5392377,0.56871533,0.5990921,0.6303681,0.66254383,0.6956194,0.7295951,0.76447123,0.80024827,0.8369263,0.8745055,0.9129864,0.95236903,0.99265397,1.0338415,1.0759312,1.1189244,1.1628206,1.2076205,1.2533243,1.299932,1.3474444,1.3958614,1.4451833,1.4954104,1.5465432,1.5985818,1.6515262,1.7053775,1.760135,1.8157997,1.8723717,1.9298509,1.9882383,2.0475338,2.1077373,2.1688497,2.230871,2.2938013,2.3576412,2.4223907,2.488051,2.5546212,2.6221018,2.6904936,2.7597966,2.830011,2.9011374,2.9731755,3.0461264,3.1199894,3.1947656,3.2704542,3.347057,3.4245734,3.5030043,3.582349,3.6626086,3.743783,3.8258724
5.241086,5.146669,5.05311,4.9604125,4.8685746,4.7775974,4.6874814,4.5982256,4.5098324,4.422301,4.335632,4.249825,4.1648803,4.0807986,3.9975796,3.9152246,3.8337333,3.753106,3.6733427,3.5944443,3.5164104,3.439242,3.3629382,3.2875006,3.2129288,3.1392233,3.066384,2.9944117,2.9233062,2.853068,2.7836978,2.7151954,2.647561,2.5807953,2.514898,2.4498696,2.385711,2.3224213,2.2600012,2.1984515,2.137772,2.0779636,2.019026,1.960959,1.9037639,1.8474404,1.7919891,1.7374101,1.6837034,1.6308697,1.5789093,1.5278223,1.4776089,1.4282695,1.3798041,1.3322136,1.2854977,1.2396568,1.1946914,1.1506016,1.1073875,1.06505,1.0235888,0.9830042,0.94329673,0.9044665,0.8665141,0.8294392,0.79324263,0.75792456,0.723485,0.6899245,0.65724325,0.62544155,0.59451973,0.56447786,0.5353164,0.5070357,0.4796359,0.4531172,0.42748013,0.40272462,0.3788513,0.3558603,0.33375192,0.31252635,0.292184,0.27272508,0.2541499,0.23645867,0.21965177,0.20372942,0.18869188,0.17453949,0.16127251,0.14889117,0.13739583,0.1267867,0.11706411,0.10822827,0.10027956,0.09321819,0.08704444,0.08175864,0.07736102,0.07385188,0.07123151,0.06950017,0.06865814,0.06870571,0.06964317,0.07147078,0.07418883,0.07779761,0.082297385,0.08768842,0.09397105,0.10114551,0.1092121,0.11817109,0.12802278,0.1387674,0.15040526,0.16293666,0.17636189,0.19068122,0.20589486,0.22200319,0.23900647,0.25690493,0.27569893,0.2953887,0.31597447,0.3374566,0.35983536,0.38311094,0.4072838,0.43235415,0.45832217,0.48518825,0.5129526,0.5416156,0.5711775,0.6016385,0.63299894,0.66525906,0.69841915,0.73247963,0.7674406,0.8033024,0.8400655,0.87772983,0.9162959,0.95576394,0.9961343,1.0374072,1.0795828,1.1226615,1.1666437,1.2115295,1.2573195,1.3040133,1.3516116,1.400115,1.4495233,1.4998373,1.5510565,1.603182,1.6562134,1.7101516,1.7649962,1.8207481,1.8774073,1.9349742,1.993449,2.0528316,2.1131232,2.1743233,2.2364326,2.2994509,2.363379,2.428217,2.4939651,2.5606236,2.628193,2.6966736,2.7660651,2.8363683,2.9075835,2.979711,3.0527506,3.1267033,3.2015686,3.2773473,3.3540397,3.4316456,3.5101662,3.5896008,3.669951,3.751215
